Parent Class,Class,Equivalent Class,Canonical Class,Canonical Source
Point,Discharge_Air_Smoke_Detection_Alarm,Discharge_Air_Smoke_Detection_Alarm,,
Point,Discharge_Air_Smoke_Detection_Alarm,Supply_Air_Smoke_Detection_Alarm,,
Point,Discharge_Air_Static_Pressure_Deadband_Setpoint,Discharge_Air_Static_Pressure_Deadband_Setpoint,,
Point,Discharge_Air_Static_Pressure_Deadband_Setpoint,Supply_Air_Static_Pressure_Deadband_Setpoint,,
Point,Discharge_Air_Static_Pressure_Integral_Time_Parameter,Discharge_Air_Static_Pressure_Integral_Time_Parameter,,
Point,Discharge_Air_Static_Pressure_Integral_Time_Parameter,Supply_Air_Static_Pressure_Integral_Time_Parameter,,
Point,Discharge_Air_Static_Pressure_Proportional_Band_Parameter,Discharge_Air_Static_Pressure_Proportional_Band_Parameter,,
Point,Discharge_Air_Static_Pressure_Proportional_Band_Parameter,Supply_Air_Static_Pressure_Proportional_Band_Parameter,,
Point,Discharge_Air_Static_Pressure_Sensor,Discharge_Air_Static_Pressure_Sensor,,
Point,Discharge_Air_Static_Pressure_Sensor,Supply_Air_Static_Pressure_Sensor,,
Point,Discharge_Air_Static_Pressure_Setpoint,Discharge_Air_Static_Pressure_Setpoint,,
Point,Discharge_Air_Static_Pressure_Setpoint,Supply_Air_Static_Pressure_Setpoint,,
Point,Discharge_Air_Static_Pressure_Step_Parameter,Discharge_Air_Static_Pressure_Step_Parameter,,
Point,Discharge_Air_Static_Pressure_Step_Parameter,Supply_Air_Static_Pressure_Step_Parameter,,
Point,Discharge_Air_Temperature_Alarm,Discharge_Air_Temperature_Alarm,,
Point,Discharge_Air_Temperature_Alarm,Supply_Air_Temperature_Alarm,,
Point,Discharge_Air_Temperature_Cooling_Setpoint,Discharge_Air_Temperature_Cooling_Setpoint,,
Point,Discharge_Air_Temperature_Cooling_Setpoint,Supply_Air_Temperature_Cooling_Setpoint,,
Point,Discharge_Air_Temperature_Deadband_Setpoint,Discharge_Air_Temperature_Deadband_Setpoint,,
Point,Discharge_Air_Temperature_Deadband_Setpoint,Supply_Air_Temperature_Deadband_Setpoint,,
Point,Discharge_Air_Temperature_Heating_Setpoint,Discharge_Air_Temperature_Heating_Setpoint,,
Point,Discharge_Air_Temperature_Heating_Setpoint,Supply_Air_Temperature_Heating_Setpoint,,
Point,Discharge_Air_Temperature_High_Reset_Setpoint,Discharge_Air_Temperature_High_Reset_Setpoint,,
Point,Discharge_Air_Temperature_High_Reset_Setpoint,Supply_Air_Temperature_High_Reset_Setpoint,,
Point,Discharge_Air_Temperature_Low_Reset_Setpoint,Discharge_Air_Temperature_Low_Reset_Setpoint,,
Point,Discharge_Air_Temperature_Low_Reset_Setpoint,Supply_Air_Temperature_Low_Reset_Setpoint,,
Point,Discharge_Air_Temperature_Proportional_Band_Parameter,Discharge_Air_Temperature_Proportional_Band_Parameter,,
Point,Discharge_Air_Temperature_Proportional_Band_Parameter,Supply_Air_Temperature_Proportional_Band_Parameter,,
Point,Discharge_Air_Temperature_Reset_Differential_Setpoint,Discharge_Air_Temperature_Reset_Differential_Setpoint,,
Point,Discharge_Air_Temperature_Reset_Differential_Setpoint,Supply_Air_Temperature_Reset_Differential_Setpoint,,
Point,Discharge_Air_Temperature_Sensor,Discharge_Air_Temperature_Sensor,,
Point,Discharge_Air_Temperature_Sensor,Supply_Air_Temperature_Sensor,,
Point,Discharge_Air_Temperature_Setpoint,Discharge_Air_Temperature_Setpoint,,
Point,Discharge_Air_Temperature_Setpoint,Supply_Air_Temperature_Setpoint,,
Point,Discharge_Air_Temperature_Setpoint_Limit,Discharge_Air_Temperature_Setpoint_Limit,,
Point,Discharge_Air_Temperature_Setpoint_Limit,Supply_Air_Temperature_Setpoint_Limit,,
Point,Discharge_Air_Temperature_Step_Parameter,Discharge_Air_Temperature_Step_Parameter,,
Point,Discharge_Air_Temperature_Step_Parameter,Supply_Air_Temperature_Step_Parameter,,
Point,Discharge_Air_Velocity_Pressure_Sensor,Discharge_Air_Velocity_Pressure_Sensor,,
Point,Discharge_Air_Velocity_Pressure_Sensor,Supply_Air_Velocity_Pressure_Sensor,,
Equipment,Discharge_Fan,Discharge_Fan,Supply_Fan,
Equipment,Discharge_Fan,Supply_Fan,Supply_Fan,
Equipment,DOAS,Dedicated_Outdoor_Air_System_Unit,Dedicated_Outdoor_Air_System_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_920_I-P_2020_add1.pdf
Equipment,DOAS,DOAS,Dedicated_Outdoor_Air_System_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_920_I-P_2020_add1.pdf
Equipment,Dual_Duct_Air_Handling_Unit,DDAHU,remove (see notes),
Equipment,Dual_Duct_Air_Handling_Unit,Dual_Duct_Air_Handling_Unit,remove (see notes),
Point,Effective_Discharge_Air_Temperature_Setpoint,Effective_Discharge_Air_Temperature_Setpoint,,
Point,Effective_Discharge_Air_Temperature_Setpoint,Effective_Supply_Air_Temperature_Setpoint,,
Point,Effective_Supply_Air_Temperature_Setpoint,Effective_Discharge_Air_Temperature_Setpoint,,
Point,Effective_Supply_Air_Temperature_Setpoint,Effective_Supply_Air_Temperature_Setpoint,,
Location,Elevator_Shaft,Elevator_Shaft,,
Location,Elevator_Shaft,Elevator_Space,,
Location,Elevator_Space,Elevator_Shaft,,
Location,Elevator_Space,Elevator_Space,,
Equipment,Embedded_Surface_System_Panel,Embedded_Surface_System_Panel,rename (see notes),
Equipment,Embedded_Surface_System_Panel,ESS_Panel,rename (see notes),
Equipment,ESS_Panel,Embedded_Surface_System_Panel,rename (see notes),
Equipment,ESS_Panel,ESS_Panel,rename (see notes),
Equipment,Fan_Coil_Unit,Fan_Coil_Unit,Fan_Coil_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_440_I-P_2019.pdf
Equipment,Fan_Coil_Unit,FCU,Fan_Coil_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_440_I-P_2019.pdf
Equipment,FCU,Fan_Coil_Unit,Fan_Coil_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_440_I-P_2019.pdf
Equipment,FCU,FCU,Fan_Coil_Unit,https://www.ahrinet.org/sites/default/files/2022-06/AHRI_Standard_440_I-P_2019.pdf
Location,Floor,Floor,,
Location,Floor,Storey,,
Equipment,Heat_Exchanger,Heat_Exchanger,Heat_Exchanger,
Equipment,Heat_Exchanger,HX,Heat_Exchanger,
Point,Heating_Discharge_Air_Flow_Setpoint,Heating_Discharge_Air_Flow_Setpoint,,
Point,Heating_Discharge_Air_Flow_Setpoint,Heating_Supply_Air_Flow_Setpoint,,
Point,Heating_Discharge_Air_Temperature_Deadband_Setpoint,Heating_Discharge_Air_Temperature_Deadband_Setpoint,,
Point,Heating_Discharge_Air_Temperature_Deadband_Setpoint,Heating_Supply_Air_Temperature_Deadband_Setpoint,,
Point,Heating_Discharge_Air_Temperature_Integral_Time_Parameter,Heating_Discharge_Air_Temperature_Integral_Time_Parameter,,
Point,Heating_Discharge_Air_Temperature_Integral_Time_Parameter,Heating_Supply_Air_Temperature_Integral_Time_Parameter,,
Point,Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,,
Point,Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,Heating_Supply_Air_Temperature_Proportional_Band_Parameter,,
Point,Heating_Supply_Air_Flow_Setpoint,Heating_Discharge_Air_Flow_Setpoint,,
Point,Heating_Supply_Air_Flow_Setpoint,Heating_Supply_Air_Flow_Setpoint,,
Point,Heating_Supply_Air_Temperature_Deadband_Setpoint,Heating_Discharge_Air_Temperature_Deadband_Setpoint,,
Point,Heating_Supply_Air_Temperature_Deadband_Setpoint,Heating_Supply_Air_Temperature_Deadband_Setpoint,,
Point,Heating_Supply_Air_Temperature_Integral_Time_Parameter,Heating_Discharge_Air_Temperature_Integral_Time_Parameter,,
Point,Heating_Supply_Air_Temperature_Integral_Time_Parameter,Heating_Supply_Air_Temperature_Integral_Time_Parameter,,
Point,Heating_Supply_Air_Temperature_Proportional_Band_Parameter,Heating_Discharge_Air_Temperature_Proportional_Band_Parameter,,
Point,Heating_Supply_Air_Temperature_Proportional_Band_Parameter,Heating_Supply_Air_Temperature_Proportional_Band_Parameter,,
Equipment,Heating_Ventilation_Air_Conditioning_System,Heating_Ventilation_Air_Conditioning_System,rename (see notes),https://terminology.ashrae.org/?entry=hvac+system
Equipment,Heating_Ventilation_Air_Conditioning_System,HVAC_System,rename (see notes),https://terminology.ashrae.org/?entry=hvac+system
Point,High_Discharge_Air_Temperature_Alarm,High_Discharge_Air_Temperature_Alarm,,
Point,High_Discharge_Air_Temperature_Alarm,High_Supply_Air_Temperature_Alarm,,
Point,High_Supply_Air_Temperature_Alarm,High_Discharge_Air_Temperature_Alarm,,
Point,High_Supply_Air_Temperature_Alarm,High_Supply_Air_Temperature_Alarm,,
Equipment,HVAC_System,Heating_Ventilation_Air_Conditioning_System,rename (see notes),https://terminology.ashrae.org/?entry=hvac+system
Equipment,HVAC_System,HVAC_System,rename (see notes),https://terminology.ashrae.org/?entry=hvac+system
Equipment,HX,Heat_Exchanger,Heat_Exchanger,
Equipment,HX,HX,Heat_Exchanger,
Point,Low_Discharge_Air_Flow_Alarm,Low_Discharge_Air_Flow_Alarm,,
Point,Low_Discharge_Air_Flow_Alarm,Low_Supply_Air_Flow_Alarm,,
Point,Low_Discharge_Air_Temperature_Alarm,Low_Discharge_Air_Temperature_Alarm,,
Point,Low_Discharge_Air_Temperature_Alarm,Low_Supply_Air_Temperature_Alarm,,
Point,Low_Supply_Air_Flow_Alarm,Low_Discharge_Air_Flow_Alarm,,
Point,Low_Supply_Air_Flow_Alarm,Low_Supply_Air_Flow_Alarm,,
Point,Low_Supply_Air_Temperature_Alarm,Low_Discharge_Air_Temperature_Alarm,,
Point,Low_Supply_Air_Temperature_Alarm,Low_Supply_Air_Temperature_Alarm,,
Equipment,Makeup_Air_Unit,Makeup_Air_Unit,Makeup_Air_Unit,https://terminology.ashrae.org/?entry=makeup+air+unit
Equipment,Makeup_Air_Unit,MAU,Makeup_Air_Unit,https://terminology.ashrae.org/?entry=makeup+air+unit
Equipment,MAU,Makeup_Air_Unit,Makeup_Air_Unit,https://terminology.ashrae.org/?entry=makeup+air+unit
Equipment,MAU,MAU,Makeup_Air_Unit,https://terminology.ashrae.org/?entry=makeup+air+unit
Point,Max_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Discharge_Air_Static_Pressure_Setpoint_Limit,Max_Discharge_Air_Static_Pressure_Setpoint_Limit,,
Point,Max_Discharge_Air_Static_Pressure_Setpoint_Limit,Max_Supply_Air_Static_Pressure_Setpoint_Limit,,
Point,Max_Discharge_Air_Temperature_Setpoint_Limit,Max_Discharge_Air_Temperature_Setpoint_Limit,,
Point,Max_Discharge_Air_Temperature_Setpoint_Limit,Max_Supply_Air_Temperature_Setpoint_Limit,,
Point,Max_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Supply_Air_Static_Pressure_Setpoint_Limit,Max_Discharge_Air_Static_Pressure_Setpoint_Limit,,
Point,Max_Supply_Air_Static_Pressure_Setpoint_Limit,Max_Supply_Air_Static_Pressure_Setpoint_Limit,,
Point,Max_Supply_Air_Temperature_Setpoint_Limit,Max_Discharge_Air_Temperature_Setpoint_Limit,,
